State,Year,Flood emergency loss,Flood conservation loss,total loss
Johor,2022,8630.00,26158.57,34788.57
Johor,2023,6495.98,5900.47,12396.45
Kedah,2022,7915.69,15513.90,23429.59
Kedah,2023,5658.53,14187.89,19846.42
Kelantan,2022,18599.90,22214.36,40814.26
Kelantan,2023,9999.99,992.25,10992.25
Melaka,2022,5150.54,10000.00,15150.54
Melaka,2023,5000.00,0.00,5000.00
Negeri Sembilan,2022,6178.85,11419.99,17598.84
Negeri Sembilan,2023,4999.97,2579.94,7579.91
Pahang,2022,5917.67,30057.15,35974.81
Pahang,2023,9000.00,4808.14,13808.14
Pulau Pinang,2022,3999.73,8499.90,12499.63
Pulau Pinang,2023,4999.99,3130.55,8130.53
Perak,2022,6199.09,12000.00,18199.09
Perak,2023,18358.08,8000.00,26358.08
Perlis,2022,999.87,2584.99,3584.86
Perlis,2023,2999.83,1664.56,4664.39
Selangor,2022,49581.68,19946.54,69528.22
Selangor,2023,7957.00,0.00,7957.00
Terengganu,2022,12999.09,11857.79,24856.89
Terengganu,2023,6998.73,6698.00,13696.73
Sabah,2022,8407.52,22368.66,30776.18
Sabah,2023,6999.92,5099.96,12099.88
Sarawak,2022,12499.75,18750.00,31249.75
Sarawak,2023,16532.70,12198.00,28730.70
Kuala Lumpur,2022,1544.93,40186.72,41731.65
Kuala Lumpur,2023,2199.41,13362.66,15562.07
Labuan,2022,499.92,3099.95,3599.87
Labuan,2023,1999.72,1443.61,3443.33
Putrajaya,2022,39.91,250.00,289.91
Putrajaya,2023,299.85,499.97,799.82
